person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Сенченко Андрій Віленович,352,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8861/2013,40,Автомобілі легкові,сім'я,,,,,Audi,A8L,4172 куб.см,2005,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,4,Член сім'ї декларанта,декларант,,,,"дружина, Негой Н.І.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,35,Автомобілі легкові,декларант,,,,,BMW,X5,2993,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,35,Автомобілі легкові,декларант,,,,,Skoda,Octavia А5,1595,2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,36,Автомобілі вантажні (спеціальні),декларант,,,,,Mercedes-Benz,Sprinter,2987,2013,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,36,Автомобілі вантажні (спеціальні),декларант,,,,,ЗИЛ,131ВС - 22А.МС,6000,1975,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,36,Автомобілі вантажні (спеціальні),декларант,,,,,КАМАЗ,5320,10850,1982,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,36,Автомобілі вантажні (спеціальні),декларант,,,,,МАЗ,5337 КО426,11150,2010,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Volkswagen,Crafter,"2461 (автомобіль вантажний, спец-ний)",2006,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,КАМАЗ,5511,"10850 (автомобіль вантажний, спеціальний)",1986,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,МАЗ,5334,"11150 (автомобіль вантажний, спеціальний)",1987,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,КАМАЗ,55102,"10850 (автомобіль вантажний, спеціальний)",1991,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,ГАЗ,33021,"2445 (автомобіль вантажний, спеціальний)",1997,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
