person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,4,Член сім'ї декларанта,декларант,,,,"дружина, Смолянська Р.В.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,17,дохід від провадження підприємницької та незалежної професійної діяльності,декларант,,295440,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,23,Земельні ділянки,декларант,,504,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,29,Земельні ділянки,сім'я,,504,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,31,Квартири,сім'я,,35.26,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,35,Автомобілі легкові,декларант,,,,,Hyundai,Getz,"1399 см3, довжина 390 см",2006,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,40,Автомобілі легкові,сім'я,,,,,Mitsubishi,Outlander,2998 см3,2007,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,5,Загальна сумма сукупного доходу,декларант,,420803,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,5.1,Загальна сумма сукупного доходу,сім'я,,760352,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,6,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",декларант,,125363,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,6.1,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",сім'я,,760352,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,4,Член сім'ї декларанта,декларант,,,,"донька, Сторчак О.В.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,4,Член сім'ї декларанта,декларант,,,,"син, Сторчак С.В.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Агафонова Наталія Володимирівна,4,,2011,скан-копія,http://chesno.org/media/declaration/Agafonova_UDAR_8.pdf,4,Член сім'ї декларанта,декларант,,,,"чоловік, Сторчак Владислав Володимирович",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,21,Одержані (нараховані) з джерел за межами України декларантом (гривні),декларант,,942586,грн,,,,,,,,,,Австрія,євро,96000,,Доходи декларанта,2,Відомості про доходи
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,23,Земельні ділянки,декларант,,1000,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,23,Земельні ділянки,декларант,,8600,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,25,Квартири,декларант,,104.08,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,27,Гаражі,декларант,,43.3,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,S500,4663 см3,2011,1298000,грн,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,45,Сума коштів на рахунках у банках та інших фінансових установах,декларант,,11565383,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,45.1,Сума коштів на рахунках у банках та інших фінансових установах закордоном,декларант,,8356464,,,,,,,,,,,,,,нерозбірливо,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,46,вкладених у звітному році,декларант,,576703,,,,,,,,,,,,,,нерозбірливо,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,49,"Розмір внесків до статутного (складеного) капіталу товариства, підприємства, організації",декларант,,824569,,,,,,,,,,,,,,нерозбірливо,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,5,Загальна сумма сукупного доходу,декларант,,592255,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,6,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",декларант,,15552,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,9,"дивіденди, проценти",декларант,,576703,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,4,Член сім'ї декларанта,декларант,,,,"донька, Азарова А.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,4,Член сім'ї декларанта,декларант,,,,"дружина, Азарова Л.Є.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,4,Член сім'ї декларанта,декларант,,,,"син, Азаров Д.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Азаров Олексій Миколайович,5,,2011,скан-копія,http://chesno.org/media/declaration/OVO_047_Azarov.pdf,4,Член сім'ї декларанта,декларант,,,,"син, Азаров М.О.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,10,матеріальна допомога,декларант,,35094.76,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,20,інши види доходів,декларант,,91118,грн,,,,,,,,,,,,,військова пенсія,Доходи декларанта,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,25,Квартири,декларант,,113.8,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,29,Земельні ділянки,сім'я,,3800,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,30,Житлові будинки,сім'я,,466.5,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,35,Автомобілі легкові,декларант,,,,,Honda,Legend,3471 см3,2006,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,35,Автомобілі легкові,декларант,,,,,Toyota,Land Cruiser 200,5563 см3,2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,40,Автомобілі легкові,сім'я,,,,,Mercedes-Benz,ML350,3498 см3,2008,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,45,Сума коштів на рахунках у банках та інших фінансових установах,декларант,,279462.66,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,5,Загальна сумма сукупного доходу,декларант,,312640.52,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,5.1,Загальна сумма сукупного доходу,сім'я,,1007.79,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,51,Сума коштів на рахунках у банках та інших фінансових установах,сім'я,,1136395.35,,,,,,,,,,,,,,,Фінансові активи сім’ї,5,"Відомості про вклади в банках, цінні папери та інші активи"
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,56,Утримання зазначеного у розділах ІІІ–V майна,декларант,,12057.26,,,,,,,,,,,,,,,Фінансові зобов’язання декларанта,6,Відомості про фінансові забов'язання
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,6,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",декларант,,185648.31,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,62,Утримання зазначеного у розділах ІІІ–V майна,сім'я,,57969.56,,,,,,,,,,,,,,,Фінансові зобов’язання сім’ї,6,Відомості про фінансові забов'язання
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,9,"дивіденди, проценти",декларант,,779.45,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,9.1,"дивіденди, проценти",сім'я,,1007.79,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Алексєєв Ігор Вікторович,6,,2011,скан-копія,http://chesno.org/media/declaration/Alekseev_CPU_6.pdf,4,Член сім'ї декларанта,декларант,,,,"дружина, Алексєєва Тетяна Володимирівна",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,16,дохід від відчуження рухомого та нерухомого майна,декларант,,880000,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,1200,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,3000,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,3200,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,6180,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,8061.4,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,12000,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,23,Земельні ділянки,декларант,,208091,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,24,Житлові будинки,декларант,,360,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,25,Квартири,декларант,,90.48,кв.м,,,,,,,,,,,,,нерозбірливо,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,26,Садовий (дачний) будинок,декларант,,56.8,кв.м,,,,,,,,,,,,,нерозбірливо,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,26,Садовий (дачний) будинок,декларант,,60.9,кв.м,,,,,,,,,,,,,нерозбірливо,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,35,Автомобілі легкові,декларант,,,,,Bentley,Continental,5998 см3,2007,,,,,,,,нерозбірливо,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,GL550,5400 см3,2001,,,,,,,,нерозбірливо,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,35,Автомобілі легкові,декларант,,,,,Toyota,Camry,3500 см3,2007,,,,,,,,нерозбірливо,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,37,Водні засоби,декларант,,,,,Моторний човен УКА,5272К,803 см3,2004,,,,,,,,нерозбірливо,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,40,Автомобілі легкові,сім'я,,,,,Mercedes-Benz,C380,2996 см3,2008,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,40,Автомобілі легкові,сім'я,,,,,Mercedes-Benz,SL550,5401 см3,2008,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,40,Автомобілі легкові,сім'я,,,,,Peugeot,307 XS20E,1997 см3,2005,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,47,Номінальна вартість цінних паперів,декларант,,4045,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,48,придбаних у звітному році,декларант,,765,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,49,"Розмір внесків до статутного (складеного) капіталу товариства, підприємства, організації",декларант,,113323,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,5,Загальна сумма сукупного доходу,декларант,,965137,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,5.1,Загальна сумма сукупного доходу,сім'я,,12148,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,50,внесених у звітному році,декларант,,5000,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,56,Утримання зазначеного у розділах ІІІ–V майна,декларант,,268000,,,,,,,,,,,,,,нерозбірливо,Фінансові зобов’язання декларанта,6,Відомості про фінансові забов'язання
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,6,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",декларант,,85137,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,6.1,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",сім'я,,12148,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,4,Член сім'ї декларанта,декларант,,,,"донька, Андрієвська А.Д.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,4,Член сім'ї декларанта,декларант,,,,"донька, Андрієвська Ю.Д.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,4,Член сім'ї декларанта,декларант,,,,"дружина, Андрієвська А.А.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Андрієвський Дмитро Йосипович,7,,2011,скан-копія,http://chesno.org/media/declaration/OVO_222_Andriyevskyi.pdf,4,Член сім'ї декларанта,декларант,,,,"син, Андрієвський М.Д.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,16,дохід від відчуження рухомого та нерухомого майна,декларант,,294874,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,16.1,дохід від відчуження рухомого та нерухомого майна,сім'я,,40000,грн,,,,,,,,,,,,,,Доходи сім'ї,2,Відомості про доходи
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,23,Земельні ділянки,декларант,,14000,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,23,Земельні ділянки,декларант,,16700,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,28,Інше нерухоме майно,декларант,,2388.4,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,29,Земельні ділянки,сім'я,,14200,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,29,Земельні ділянки,сім'я,,20000,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,30,Житлові будинки,сім'я,,87.6,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,35,Автомобілі легкові,декларант,,,,,Citroen,Berlingo,"1997 см3, 150 кВт, 414 см",2000,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Апостол Михайло Володимирович,8,,2011,скан-копія,http://chesno.org/media/declaration/OVO_166_Apostol.pdf,35,Автомобілі легкові,декларант,,,,,Ford,Escort,1597 см3,1988,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
