person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,10,матеріальна допомога,декларант,,34850.4,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,25,Квартири,декларант,,66.6,кв.м,,,,,,,,,,,,,,Нерухоме майно декларанта,3,Відомості про нерухоме майно
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,31,Квартири,сім'я,,139.5,кв.м,,,,,,,,,,,,,,Нерухоме майно сім’ї,3,Відомості про нерухоме майно
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,35,Автомобілі легкові,декларант,,,,,Porsche,Cayenne,,2011,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,40,Автомобілі легкові,сім'я,,,,,Audi,A6 3.0,,2006,,,,,,,,нерозбірливо,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,40,Автомобілі легкові,сім'я,,,,,Mercedes-Benz,SL55,,2005,,,,,,,,нерозбірливо,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,45,Сума коштів на рахунках у банках та інших фінансових установах,декларант,,10136459,,,,,,,,,,,,,,,Фінансові активи декларанта,5,"Відомості про вклади в банках, цінні папери та інші активи"
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,5,Загальна сумма сукупного доходу,декларант,,247500.79,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,51,Сума коштів на рахунках у банках та інших фінансових установах,сім'я,,15979600,,,,,,,,,,,,,,,Фінансові активи сім’ї,5,"Відомості про вклади в банках, цінні папери та інші активи"
Абдуллін Олександр Рафкатович,1,,2011,скан-копія,http://chesno.org/media/declaration/Abdullin_VOB_28.pdf,6,"заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7, 8)",декларант,,212655.99,грн,,,,,,,,,,,,,,Доходи декларанта,2,Відомості про доходи
